name,score1,score2,moves1,moves2,time1,time2
Max - Avg | HORIZONTAL - VERTICAL,976,987,196,195,0,1
Max - Avg | VERTICAL - HORIZONTAL,983,991,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,900,900,167,166,0,1
Max - Gain | VERTICAL - HORIZONTAL,1012,993,200,199,0,3
Gain - Max | HORIZONTAL - VERTICAL,897,898,166,165,1,0
Gain - Max | VERTICAL - HORIZONTAL,983,1000,195,194,1,1
Avg - Gain | HORIZONTAL - VERTICAL,1029,976,200,199,1,1
Avg - Gain | VERTICAL - HORIZONTAL,1003,945,193,192,0,0
Gain - Avg | HORIZONTAL - VERTICAL,744,756,137,136,1,0
Gain - Avg | VERTICAL - HORIZONTAL,892,913,176,175,1,0
Avg - Max | HORIZONTAL - VERTICAL,983,982,192,191,0,1
Avg - Max | VERTICAL - HORIZONTAL,1016,989,200,199,0,1
Max - Avg | HORIZONTAL - VERTICAL,940,950,170,169,1,0
Max - Avg | VERTICAL - HORIZONTAL,988,995,194,193,0,1
Max - Gain | HORIZONTAL - VERTICAL,1039,1032,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,1050,1030,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,903,884,151,150,1,0
Gain - Max | VERTICAL - HORIZONTAL,933,924,161,160,1,0
Avg - Gain | HORIZONTAL - VERTICAL,952,925,170,169,0,1
Avg - Gain | VERTICAL - HORIZONTAL,1035,991,193,192,0,2
Gain - Avg | HORIZONTAL - VERTICAL,1021,1059,200,199,1,0
Gain - Avg | VERTICAL - HORIZONTAL,928,966,177,176,0,2
Avg - Max | HORIZONTAL - VERTICAL,1046,1034,200,199,0,0
Avg - Max | VERTICAL - HORIZONTAL,1024,1016,190,189,0,1
Max - Avg | HORIZONTAL - VERTICAL,1030,1040,197,196,0,0
Max - Avg | VERTICAL - HORIZONTAL,1037,1043,200,199,1,1
Max - Gain | HORIZONTAL - VERTICAL,1095,1062,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,1099,1066,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,863,851,140,139,2,0
Gain - Max | VERTICAL - HORIZONTAL,1020,1030,180,179,3,2
Avg - Gain | HORIZONTAL - VERTICAL,1078,1043,195,194,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1075,1017,192,191,1,1
Gain - Avg | HORIZONTAL - VERTICAL,892,918,151,150,1,1
Gain - Avg | VERTICAL - HORIZONTAL,1012,1025,183,182,0,0
Avg - Max | HORIZONTAL - VERTICAL,1054,1049,186,185,1,0
Avg - Max | VERTICAL - HORIZONTAL,993,974,162,161,0,1
Max - Avg | HORIZONTAL - VERTICAL,1081,1084,200,199,0,1
Max - Avg | VERTICAL - HORIZONTAL,1077,1079,197,196,0,0
Max - Gain | HORIZONTAL - VERTICAL,996,984,189,188,0,2
Max - Gain | VERTICAL - HORIZONTAL,1015,1014,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,995,1006,194,193,1,0
Gain - Max | VERTICAL - HORIZONTAL,1024,1005,200,199,2,0
Avg - Gain | HORIZONTAL - VERTICAL,1023,981,195,194,1,1
Avg - Gain | VERTICAL - HORIZONTAL,999,962,191,190,0,1
Gain - Avg | HORIZONTAL - VERTICAL,921,965,181,180,2,0
Gain - Avg | VERTICAL - HORIZONTAL,941,968,181,180,1,2
Avg - Max | HORIZONTAL - VERTICAL,985,971,182,181,0,0
Avg - Max | VERTICAL - HORIZONTAL,1025,1004,200,199,1,0
Max - Avg | HORIZONTAL - VERTICAL,1007,1012,197,196,0,0
Max - Avg | VERTICAL - HORIZONTAL,1020,1009,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,1024,1007,200,199,2,0
Max - Gain | VERTICAL - HORIZONTAL,1022,989,196,195,0,2
Gain - Max | HORIZONTAL - VERTICAL,741,736,124,123,0,0
Gain - Max | VERTICAL - HORIZONTAL,831,809,140,139,1,0
Avg - Gain | HORIZONTAL - VERTICAL,984,956,189,188,0,0
Avg - Gain | VERTICAL - HORIZONTAL,1030,984,197,196,0,1
Gain - Avg | HORIZONTAL - VERTICAL,745,760,128,127,2,0
Gain - Avg | VERTICAL - HORIZONTAL,972,992,191,190,2,1
Avg - Max | HORIZONTAL - VERTICAL,971,957,175,174,0,0
Avg - Max | VERTICAL - HORIZONTAL,1024,1007,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,1013,1012,198,197,1,0
Max - Avg | VERTICAL - HORIZONTAL,1003,1010,194,193,0,0
Max - Gain | HORIZONTAL - VERTICAL,982,963,195,194,0,2
Max - Gain | VERTICAL - HORIZONTAL,970,954,191,190,0,2
Gain - Max | HORIZONTAL - VERTICAL,976,995,200,199,2,0
Gain - Max | VERTICAL - HORIZONTAL,430,418,66,65,0,1
Avg - Gain | HORIZONTAL - VERTICAL,935,907,178,177,0,1
Avg - Gain | VERTICAL - HORIZONTAL,950,921,183,182,1,1
Gain - Avg | HORIZONTAL - VERTICAL,953,998,197,196,1,0
Gain - Avg | VERTICAL - HORIZONTAL,642,640,108,107,0,1
Avg - Max | HORIZONTAL - VERTICAL,958,944,184,183,0,0
Avg - Max | VERTICAL - HORIZONTAL,925,907,166,165,0,0
Max - Avg | HORIZONTAL - VERTICAL,986,985,200,199,2,0
Max - Avg | VERTICAL - HORIZONTAL,946,945,179,178,0,0
Max - Gain | HORIZONTAL - VERTICAL,1012,1004,200,199,1,1
Max - Gain | VERTICAL - HORIZONTAL,1011,1005,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,779,761,128,127,3,0
Gain - Max | VERTICAL - HORIZONTAL,906,908,167,166,0,2
Avg - Gain | HORIZONTAL - VERTICAL,1009,961,194,193,0,2
Avg - Gain | VERTICAL - HORIZONTAL,1019,964,195,194,0,2
Gain - Avg | HORIZONTAL - VERTICAL,938,958,184,183,2,0
Gain - Avg | VERTICAL - HORIZONTAL,835,846,154,153,0,2
Avg - Max | HORIZONTAL - VERTICAL,1013,993,198,197,0,0
Avg - Max | VERTICAL - HORIZONTAL,1007,995,197,196,0,0
Max - Avg | HORIZONTAL - VERTICAL,972,984,184,183,0,0
